word,total freq,rank,relative freq,sci. freq,news freq
the,0.09403258805467968,200,0.5613282584167374,0.04124943916752783,0.05278314888715185
of,0.0525573455066478,199,0.4959927285268999,0.026489284304674558,0.026068061201973244
and,0.05076363604747579,198,0.49907799813915465,0.025428622190636938,0.025335013856838846
to,0.039996713698698616,197,0.6533447231666306,0.013865071859647386,0.02613164183905123
in,0.03492539647199974,196,0.48349541898415915,0.018039127271582352,0.01688626920041739
climate,0.021171506197125656,195,0.6253561999249143,0.00793177353500438,0.013239732662121275
is,0.01640433649536783,194,0.6497737233846698,0.00574522969111765,0.010659106804250178
for,0.01630101548986186,193,0.5010879138703594,0.008132773644078564,0.008168241845783296
that,0.015504991140217746,192,0.7190621144296633,0.004355939426719577,0.011149051713498169
on,0.01357703133233987,191,0.6090597167523744,0.005307808474726837,0.008269222857613034
change,0.013354251225511765,190,0.5662882663430691,0.0057918954507069015,0.007562355774804863
by,0.009332833210368183,189,0.5822748921938163,0.0038985587589381795,0.005434274451430003
are,0.009007739487587122,188,0.5904181950453109,0.0036894061978875593,0.005318333289699563
as,0.00884860771510468,187,0.563418575545923,0.003863137760695736,0.0049854699544089436
with,0.008728134019014656,186,0.5450566705391063,0.003970806350591418,0.004757327668423237
'',0.008404109133558121,185,0.9968556822924299,2.6425189164997758e-05,0.008377683944393123
from,0.007768779602279591,184,0.562297296955519,0.003400415831274605,0.004368363771004986
's,0.007049347561522298,183,0.9979661847295718,1.4337070717179634e-05,0.007035010490805118
``,0.007016359601271803,182,0.996794702100283,2.2489522693615113e-05,0.0069938700785781875
this,0.006811466965544059,181,0.5792789653491319,0.0028657274292339056,0.003945739536310154
be,0.006664913771842304,180,0.6301750072696161,0.002464851687220216,0.004200062084622088
it,0.006291757719484509,179,0.7840590260619034,0.0013586482897280229,0.004933109429756486
at,0.005801177581124046,178,0.6466372620288203,0.0020499199935230176,0.0037512575876010278
we,0.005506050331238868,177,0.6928447789580354,0.0016912121065598565,0.003814838224679011
have,0.005180063953514234,176,0.7183960123262594,0.0014587266657146102,0.003721337287799624
was,0.005106388635864115,175,0.5720225146196248,0.0021854193677520485,0.0029209692681120667
an,0.00499623614775988,174,0.6145767886683683,0.001925665380640794,0.0030705707671190865
has,0.004737240634367505,173,0.7823915701073059,0.0010308634964685827,0.0037063771378989217
will,0.004550589139284119,172,0.8227017201644431,0.0008068116266334421,0.003743777512650677
not,0.004514593753045384,171,0.6793148835540598,0.0014477630234014727,0.003066830729643911
more,0.004260915808090171,170,0.7013257424592574,0.0012726258654249451,0.0029882899426652257
said,0.004225839545682283,169,0.9930149977971764,2.9517498535369835e-05,0.004196322047146913
or,0.0037894586201707757,168,0.554670540498977,0.0016875575591221439,0.0021019010610486316
which,0.0036163155067252617,167,0.5543377183119124,0.001611655420031193,0.0020046600866940687
global,0.0035772206059012795,166,0.6701750564761385,0.0011798565843137829,0.0023973640215874965
but,0.0034921947260043527,165,0.7764536007431272,0.0007806675565021145,0.0027115271695022382
were,0.0033364944473574312,164,0.35982437509590237,0.0021359424178260954,0.0012005520295313358
their,0.0033291173061509487,163,0.6774295977387136,0.0010738747086201216,0.002255242597530827
our,0.003145420207809828,162,0.7895240443074938,0.0006620353242932949,0.002483384883516533
can,0.0030625387840643534,161,0.5947347540177946,0.001241140533653884,0.0018213982504104692
also,0.003055277424657449,160,0.616958339781466,0.0011702985371689963,0.0018849788874884526
water,0.0030158571431427375,159,0.22446248309405634,0.002338910360135972,0.0006769467830067658
its,0.0027583732834106636,158,0.7986163751392482,0.0005554912105322933,0.00220288207287837
he,0.0027516301580059925,157,0.9704744474855012,8.124340073068459e-05,0.002670386757275308
about,0.0027153620712591247,156,0.8112664223290431,0.0005124799983807544,0.00220288207287837
2017,0.002666413078643031,155,0.2721136031005732,0.001940845808458984,0.0007255672701840472
they,0.00264204242606185,154,0.7601695205034636,0.0006336423018926058,0.0020084001241692444
